"genre"	"y1945"	"y1946"	"y1947"	"y1948"	"y1949"	"y1950"	"y1951"	"y1952"	"y1953"	"y1954"	"y1955"	"y1956"	"y1957"	"y1958"	"y1959"	"y1960"	"y1961"	"y1962"	"y1963"	"y1964"	"y1965"	"y1966"	"y1967"	"y1968"	"y1969"	"y1970"	"y1971"	"y1972"	"y1973"	"y1974"	"y1975"	"y1976"	"y1977"	"y1978"	"y1979"	"y1980"	"y1981"	"y1982"	"y1983"	"y1984"	"y1985"	"y1986"	"y1987"	"y1988"	"y1989"	"y1990"	"y1991"	"y1992"	"y1993"	"y1994"	"y1995"	"y1996"	"y1997"	"y1998"	"y1999"	"y2000"	"y2001"	"y2002"	"y2003"	"y2004"	"y2005"	"y2006"	"y2007"	"y2008"	"y2009"	"y2010"	"y2011"	"y2012"	"y2013"	"y2014"	"y2015"	"y2016"	"y2017"	"y2018"	"y2019"	"y2020"	"y2021"
"Adventure,Comedy,Drama"	0	0	0	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	26	0	5	8	0	18	0	5	8	13	9	12	7	15	51	51	24	38	51	43	29	29	58	64	16	24	107	295	61	47	52	79	124	205	445	416	351	389	273	628	195	298	208	274	343	384	169	537	385	289	149	133	320	178	133	87	164	133
"Adventure,Drama,Family"	0	0	0	0	0	0	8	7	0	36	61	104	84	93	65	74	103	91	73	102	118	106	118	158	147	80	66	71	98	92	67	84	62	50	58	86	76	290	46	51	19	83	84	199	64	59	18	120	41	65	59	89	100	264	130	16	114	141	268	251	197	658	456	283	244	259	395	218	96	174	15	27	17	62	93	80	53
"Short"	0	0	0	0	0	0	0	0	0	0	3	3	4	2	0	0	4	0	20	13	6	4	4	0	6	7	4	0	1	0	0	1	2	23	11	7	14	26	14	4	6	21	6	1	1	17	47	23	2	0	26	0	5	1	1	8	37	17	56	1	62	37	1	28	86	101	155	373	472	625	819	1001	917	717	885	1073	427
"Biography,Documentary"	0	0	0	0	0	0	0	0	18	17	25	20	26	32	37	31	104	269	112	38	0	0	0	0	16	36	41	40	35	44	32	37	33	38	36	39	33	31	32	28	33	37	37	37	33	59	101	84	58	112	159	185	204	242	310	335	358	307	285	224	211	248	180	240	272	245	183	167	156	157	113	212	357	367	244	161	125
"Action"	0	0	0	0	0	0	0	0	0	0	0	0	12	53	0	0	0	0	0	0	0	0	0	0	3	3	7	20	40	80	6	6	0	20	33	33	8	0	0	0	0	31	46	60	44	23	22	102	22	20	72	49	41	26	64	30	38	26	34	90	183	141	193	307	229	338	371	471	491	544	601	536	437	730	466	499	415
"Mystery"	0	0	0	0	2	17	46	8	0	21	29	24	75	18	2	41	39	14	8	2	13	9	7	95	278	30	8	0	4	33	18	27	42	75	25	13	39	29	29	10	0	15	19	4	19	15	161	43	64	50	55	112	49	0	14	174	16	54	146	87	112	172	129	189	174	252	389	610	322	435	506	454	449	468	374	395	336
"Comedy,Family,Music"	0	0	0	6	94	137	80	62	35	51	21	30	38	23	31	13	7	64	88	98	285	321	311	276	253	267	286	287	296	210	78	85	111	107	83	99	57	38	29	53	59	20	57	42	237	106	93	95	79	79	46	51	41	25	22	31	17	32	67	111	92	48	67	43	69	95	91	35	13	80	37	124	163	169	184	105	144
"Crime,Drama,Thriller"	0	0	0	0	0	0	0	0	0	14	53	7	43	116	135	41	38	45	20	2	14	17	0	1	0	0	0	4	0	3	0	2	10	0	6	1	2	3	14	6	7	3	36	13	6	13	185	15	36	59	167	96	136	117	143	131	258	342	215	163	329	201	108	109	89	143	223	83	117	211	305	289	372	444	572	548	320
"Action,Adventure,Crime"	0	0	0	0	0	0	0	28	26	11	27	25	13	28	58	81	62	63	38	69	109	101	74	60	83	50	42	34	24	31	0	13	59	32	43	37	61	46	69	57	55	67	38	29	58	53	53	57	91	136	64	103	116	136	141	159	156	78	66	246	88	87	88	123	78	52	73	27	104	106	139	413	546	667	420	356	370
"Comedy,Family,Game-Show"	0	1	0	0	7	43	13	11	7	25	29	36	47	55	55	42	35	25	24	27	35	91	324	320	326	169	160	221	183	130	191	208	192	182	144	94	38	49	79	68	68	43	50	12	14	8	30	38	79	69	64	190	137	122	89	34	47	4	47	42	59	91	83	79	46	108	110	165	76	134	247	236	227	212	276	104	43
"Comedy,Drama,Fantasy"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	38	18	0	7	39	12	24	123	160	156	112	73	83	52	35	13	0	0	34	27	298	52	36	1	9	207	59	20	22	25	28	10	120	75	27	11	16	27	34	75	31	294	49	138	45	84	95	61	71	114	277	256	299	400	344	436	357	328	409	206	331	125
"Adventure,Animation,Family"	0	0	0	0	1	6	1	1	0	0	0	0	0	16	8	3	2	0	2	6	131	36	88	57	37	14	11	40	78	12	3	26	26	15	42	71	86	61	91	66	74	218	207	85	86	96	89	75	33	43	92	89	108	107	149	79	74	67	32	46	191	115	266	222	169	209	108	295	189	226	384	363	352	245	335	224	125
"Game-Show,Music,Reality-TV"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0	0	0	38	62	248	461	275	328	355	368	303	231	337	387	487	399	444	333	291	423	418	386	182
"Comedy,Family,Fantasy"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	37	28	28	52	123	89	65	55	63	41	35	25	47	44	52	68	72	61	33	18	22	32	40	46	28	16	45	33	85	15	272	162	233	60	41	77	39	69	70	115	156	128	157	363	459	275	274	156	243	227	320	231	153	169	170	248	163	66	122	70	83
"Documentary,Family"	0	0	0	0	0	16	33	0	3	1	0	2	0	9	9	3	49	44	57	81	66	59	31	37	25	21	23	30	36	20	37	26	27	38	45	64	58	75	90	63	68	86	89	77	73	74	60	68	107	59	48	39	71	76	92	103	98	157	304	163	157	167	219	183	184	171	180	164	178	356	311	267	310	274	222	210	87
"Documentary,Talk-Show"	0	0	0	0	0	0	0	0	0	0	0	5	5	3	5	4	4	1	0	6	5	9	12	12	13	3	0	15	22	32	21	20	31	22	47	31	65	63	37	44	43	47	41	41	52	62	88	90	88	107	87	102	106	94	84	83	123	54	53	106	138	211	148	145	131	203	239	353	531	248	258	329	348	276	386	330	181
"Family,Fantasy"	0	0	0	1	0	1	0	39	0	0	0	0	7	45	26	19	7	0	0	0	15	229	223	201	218	230	231	206	204	178	212	190	146	168	135	107	152	126	153	91	59	50	48	50	19	91	179	92	104	51	60	20	112	70	113	98	43	95	154	50	74	122	123	6	39	97	195	173	136	72	36	87	75	73	38	31	2
"Adventure,Comedy,Family"	0	0	0	0	0	0	0	0	0	0	19	0	0	2	7	12	8	14	8	6	16	30	36	10	0	30	166	9	20	37	4	20	2	38	7	24	4	23	33	27	33	36	6	0	48	77	61	74	54	208	391	108	376	299	70	48	58	137	76	205	152	238	146	163	128	174	173	161	208	130	131	423	308	285	205	184	194
"Action,Comedy,Drama"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1	1	0	5	87	12	120	162	9	20	38	85	79	97	223	208	344	307	391	519	491	342	378	619	368	349	416	244	151	175
"Music,Reality-TV"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	33	35	85	58	179	262	220	252	432	369	400	407	494	486	360	448	382	285	344	271	264	201
"Family,Musical"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	11	8	21	29	3	0	9	4	0	0	27	0	7	1	4	15	36	10	20	12	8	3	45	3	200	194	202	201	200	5	378	175	375	435	276	29	20	32	0	1	14	10	0	0	0	36	7	6	43	291	318	280	337	330	327	326	265	287	261	42	0
"Reality-TV,Talk-Show"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	23	14	6	13	8	29	80	49	21	22	35	11	155	292	266	313	220	196	179	215	122	189	144	233	257	268	301	436	668	339	459	272	247
"Drama,History"	0	0	0	0	1	23	0	0	40	50	40	23	4	25	0	52	0	10	11	2	17	8	26	5	0	3	12	35	14	41	25	53	61	40	27	90	37	21	20	31	90	68	46	61	29	31	54	88	37	61	50	80	113	66	18	55	102	121	81	103	59	66	179	298	159	68	130	183	211	238	243	289	435	365	315	352	268
"Comedy,Documentary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	3	8	1	0	1	0	1	3	0	1	4	8	4	14	16	16	23	11	24	42	52	27	63	90	78	87	240	252	272	310	231	213	229	227	189	194	253	291	185	257	269	377	352	357	379	255
