"","country","population","continent","lat","long","percentage","text_size","circle_size","population_percentage","population_millions","adjusted_long","adjusted_lat"
"44","Congo, Dem. Rep.",102262808,"Africa",0,25,1.27937634674164,0.682334051595543,1.02350107739332,1.27937634674164,102.262808,25,0
"45","Congo, Rep.",6106869,"Africa",-1,15,0.0764010289180578,0.0407472154229642,0.0611208231344463,0.0764010289180578,6.106869,15,-1
"46","Costa Rica",5212173,"Central America",10,-84,0.0652077816142642,0.0347774835276076,0.0521662252914114,0.0652077816142642,5.212173,-84,10
"47","Cote d'Ivoire",28873034,"Africa",8,-5,0.361221029235451,0.19265121559224,0.28897682338836,0.361221029235451,28.873034,-5,8
"48","Croatia",3853200,"Europe",45.17,15.5,0.0482061175091623,0.0257099293382199,0.0385648940073298,0.0482061175091623,3.8532,15.5,45.17
"49","Cuba",11194449,"North America",21.5,-80,0.140050068500032,0.0746933698666839,0.112040054800026,0.140050068500032,11.194449,-80,21.5
"50","Curacao",147862,"South America",12.17,-68.99,0.00184985283586104,0.000986588179125887,0.00147988226868883,0.00184985283586104,0.147862,-68.99,12.17
"51","Cyprus",1260138,"Europe",35,33,0.0157651719365101,0.00840809169947206,0.0126121375492081,0.0157651719365101,1.260138,33,35
"52","Czechia",10873689,"Europe",49.75,15.5,0.136037145669076,0.0725531443568408,0.108829716535261,0.136037145669076,10.873689,15.5,49.75
"53","Denmark",5946952,"Europe",56,10,0.0744003599432544,0.0396801919697357,0.0595202879546035,0.0744003599432544,5.946952,10,56
"54","Djibouti",1136455,"Africa",11.5,43,0.0142178146148331,0.00758283446124434,0.0113742516918665,0.0142178146148331,1.136455,43,11.5
"55","Dominica",73040,"North America",15.42,-61.33,0.000913779410066753,0.000487349018702268,0.000731023528053403,0.000913779410066753,0.07304,-61.33,15.42
"56","Dominican Republic",11332972,"North America",19,-70.67,0.141783084179395,0.0756176448956775,0.113426467343516,0.141783084179395,11.332972,-70.67,19
"57","Ecuador",18190484,"South America",-2,-77.5,0.227575160711237,0.121373419045993,0.182060128568989,0.227575160711237,18.190484,-77.5,-2
"58","Egypt, Arab Rep.",112716598,"Africa",27,30,1.41016027416719,0.752085479555833,1.12812821933375,1.41016027416719,112.716598,30,27
"59","El Salvador",6364943,"Central America",13.83,-88.92,0.079629707826513,0.0424691775074736,0.0637037662612104,0.079629707826513,6.364943,-88.92,13.83
"60","Equatorial Guinea",1714671,"Africa",2,10,0.0214516847595642,0.0114408985384342,0.0171613478076514,0.0214516847595642,1.714671,10,2
"61","Eritrea",3748901,"Africa",15,39,0.0469012670342095,0.0250140090849117,0.0375210136273676,0.0469012670342095,3.748901,39,15
"62","Estonia",1366188,"Europe",59,26,0.0170919285963893,0.00911569525140765,0.0136735428771115,0.0170919285963893,1.366188,26,59
"63","Eswatini",1210822,"Africa",-26.52,32.46,0.015148195685321,0.00807903769883787,0.0121185565482568,0.015148195685321,1.210822,32.46,-26.52
"64","Ethiopia",126527060,"Africa",8,38,1.58293842065006,0.844233824346701,1.26635073652005,1.58293842065006,126.52706,38,8
"65","Faroe Islands",53270,"Europe",62,-7,0.000666443444335377,0.000355436503645534,0.000533154755468302,0.000666443444335377,0.05327,-7,62
"66","Fiji",936375,"Oceania",-18,175,0.011714679560532,0.00624782909895039,0.00937174364842559,0.011714679560532,0.936375,175,-18
"67","Finland",5584264,"Europe",64,26,0.0698628896984804,0.0372602078391895,0.0558903117587843,0.0698628896984804,5.584264,26,64
"68","France",68170228,"Europe",46,2,0.852855294714623,0.454856157181132,0.682284235771698,0.852855294714623,68.170228,2,46
"69","French Polynesia",308872,"Oceania",-15,-140,0.0038641959740709,0.00206090451950448,0.00309135677925672,0.0038641959740709,0.308872,-140,-15
"70","Gabon",2436566,"Africa",-1,11.75,0.0304830756033503,0.0162576403217868,0.0243864604826803,0.0304830756033503,2.436566,11.75,-1
"71","Gambia, The",2773168,"Africa",13.47,-16.57,0.0346941924843373,0.0185035693249799,0.0277553539874699,0.0346941924843373,2.773168,-16.57,13.47
"72","Georgia",3760365,"Europe",42,43.5,0.0470446893665891,0.0250905009955142,0.0376357514932713,0.0470446893665891,3.760365,43.5,42
"73","Germany",84482267,"Europe",51,9,1.05692984803343,0.563695918951164,0.845543878426746,1.05692984803343,84.482267,9,51
"74","Ghana",34121985,"Africa",8,-2,0.426888928307867,0.227674095097529,0.341511142646294,0.426888928307867,34.121985,-2,8
"75","Greece",10361295,"Europe",39,22,0.129626752911112,0.0691342682192596,0.103701402328889,0.129626752911112,10.361295,22,39
"76","Greenland",56865,"North America",72,-40,0.000711419306591538,0.000379423630182154,0.00056913544527323,0.000711419306591538,0.056865,-40,72
"77","Grenada",126183,"North America",12.12,-61.67,0.00157863399918474,0.000841938132898526,0.00126290719934779,0.00157863399918474,0.126183,-61.67,12.12
"78","Guam",172952,"Oceania",13.47,144.78,0.00216374557132893,0.0011539976380421,0.00173099645706314,0.00216374557132893,0.172952,144.78,13.47
"79","Guatemala",17602431,"Central America",15.5,-90.25,0.220218223095848,0.117449718984452,0.176174578476678,0.220218223095848,17.602431,-90.25,15.5
"80","Guinea",14190612,"Africa",11,-10,0.177534078064707,0.0946848416345103,0.142027262451766,0.177534078064707,14.190612,-10,11
"81","Guinea-Bissau",2150842,"Africa",12,-15,0.0269084766416593,0.0143511875422183,0.0215267813133274,0.0269084766416593,2.150842,-15,12
"82","Guyana",813834,"South America",5,-59,0.0101816094251406,0.0054301916934083,0.00814528754011244,0.0101816094251406,0.813834,-59,5
"83","Haiti",11724763,"North America",19,-72.42,0.146684652482373,0.0782318146572654,0.117347721985898,0.146684652482373,11.724763,-72.42,19
"84","Honduras",10593798,"Central America",15,-86.5,0.132535521451347,0.0706856114407182,0.106028417161077,0.132535521451347,10.593798,-86.5,15
"85","Hungary",9589872,"Europe",47,20,0.119975733553884,0.0639870578954047,0.0959805868431071,0.119975733553884,9.589872,20,47
"86","Iceland",393600,"Europe",65,-18,0.00492420010682193,0.0026262400569717,0.00393936008545755,0.00492420010682193,0.3936,-18,65
"87","India",1428627663,"Asia",20,77,17.8730906777271,17.8730906777271,26.8096360165906,17.8730906777271,1428.627663,72,17
"88","Indonesia",277534122,"Asia",-5,120,3.47213809247747,1.85180698265465,2.77771047398198,3.47213809247747,277.534122,120,-5
"89","Iran, Islamic Rep.",89172767,"Asia",32,53,1.11561115037349,0.594992613532531,0.892488920298796,1.11561115037349,89.172767,53,32
"90","Iraq",45504560,"Asia",33,44,0.569292579301029,0.303622708960549,0.455434063440823,0.569292579301029,45.50456,44,33
"91","Ireland",5262382,"Europe",53,-8,0.0658359298946591,0.0351124959438182,0.0526687439157273,0.0658359298946591,5.262382,-8,53
"92","Isle of Man",84710,"Europe",54.24,-4.55,0.00105977894067298,0.000565215435025591,0.000847823152538386,0.00105977894067298,0.08471,-4.55,54.24
"93","Israel",9756700,"Asia",31.5,34.75,0.12206286377599,0.0651001940138612,0.0976502910207918,0.12206286377599,9.7567,34.75,31.5
"94","Italy",58761146,"Europe",42.83,12.83,0.73514136537139,0.392075394864742,0.588113092297112,0.73514136537139,58.761146,12.83,42.83
"95","Jamaica",2825544,"North America",18.25,-77.5,0.0353494513887959,0.0188530407406912,0.0282795611110367,0.0353494513887959,2.825544,-77.5,18.25
"96","Japan",124516650,"Asia",36,138,1.55778684255871,0.830819649364647,1.24622947404697,1.55778684255871,124.51665,138,36
"97","Jordan",11337052,"Asia",31,36,0.141834127717088,0.0756448681157802,0.11346730217367,0.141834127717088,11.337052,36,31
"98","Kazakhstan",19900177,"Asia",48,68,0.248964567350547,0.132781102586959,0.199171653880438,0.248964567350547,19.900177,68,48
"99","Kenya",55100586,"Europe",1,38,0.689345303524266,0.367650828546275,0.551476242819413,0.689345303524266,55.100586,38,1
"100","Kiribati",133515,"Oceania",1.42,173,0.0016703622389795,0.000890859860789066,0.0013362897911836,0.0016703622389795,0.133515,173,1.42
"101","Korea, Dem. People's Rep.",26160821,"Asia",40,127,0.327289424702107,0.174554359841124,0.261831539761686,0.327289424702107,26.160821,127,40
"102","Korea, Rep.",51712619,"Asia",37,127.5,0.646959563017891,0.345045100276209,0.517567650414313,0.646959563017891,51.712619,127.5,37
"103","Kosovo",1756374,"Europe",42.6,20.9,0.0219734172724067,0.0117191558786169,0.0175787338179253,0.0219734172724067,1.756374,20.9,42.6
"104","Kuwait",4310108,"Asia",29.34,47.66,0.0539223431758488,0.0287585830271193,0.043137874540679,0.0539223431758488,4.310108,47.66,29.34
"105","Kyrgyz Republic",7100800,"Asia",41,75,0.0888357726588445,0.0473790787513837,0.0710686181270756,0.0888357726588445,7.1008,75,41
"106","Lao PDR",7633779,"Asia",18,105,0.0955036975794081,0.0509353053756843,0.0764029580635265,0.0955036975794081,7.633779,105,18
"107","Latvia",1881750,"Europe",57,25,0.0235419551600919,0.0125557094187157,0.0188335641280735,0.0235419551600919,1.88175,25,57
"108","Lebanon",5353930,"Asia",33.83,35.83,0.0669812568036513,0.0357233369619474,0.0535850054429211,0.0669812568036513,5.35393,35.83,33.83
"109","Lesotho",2330318,"Africa",-29.5,28.5,0.0291538418306125,0.0155487156429933,0.02332307346449,0.0291538418306125,2.330318,28.5,-29.5
"110","Liberia",5418377,"Africa",6.5,-9.5,0.0677875320177884,0.0361533504094871,0.0542300256142307,0.0677875320177884,5.418377,-9.5,6.5
"111","Libya",6888388,"Africa",25,17,0.086178356009733,0.0459617898718576,0.0689426848077864,0.086178356009733,6.888388,17,25
"112","Liechtenstein",39584,"Europe",47.17,9.53,0.000495222400986889,0.000264118613859674,0.000396177920789511,0.000495222400986889,0.039584,9.53,47.17
"113","Lithuania",2871897,"Europe",56,24,0.0359293585218028,0.0191623245449615,0.0287434868174423,0.0359293585218028,2.871897,24,56
"114","Luxembourg",668606,"Europe",49.75,6.17,0.00836470969670169,0.00446117850490757,0.00669176775736135,0.00836470969670169,0.668606,6.17,49.75
"115","Madagascar",30325732,"Africa",-20,47,0.379395255980318,0.202344136522837,0.303516204784255,0.379395255980318,30.325732,47,-20
"116","Malawi",20931751,"Africa",-13.5,34,0.261870250279904,0.139664133482615,0.209496200223923,0.261870250279904,20.931751,34,-13.5
"117","Malaysia",34308525,"Asia",2.5,112.5,0.429222668876786,0.228918756734286,0.343378135101429,0.429222668876786,34.308525,112.5,2.5
"118","Maldives",521021,"Asia",3.25,73,0.00651832231670851,0.00347643856891121,0.00521465785336681,0.00651832231670851,0.521021,73,3.25
"119","Mali",23293698,"Africa",17,-4,0.291419792123673,0.155423889132626,0.233135833698939,0.291419792123673,23.293698,-4,17
"120","Malta",553214,"Europe",35.83,14.58,0.00692107834831146,0.00369124178576611,0.00553686267864917,0.00692107834831146,0.553214,14.58,35.83
"121","Marshall Islands",41996,"Oceania",9,168,0.000525398139446377,0.000280212341038068,0.000420318511557102,0.000525398139446377,0.041996,168,9
"122","Mauritania",4862989,"Africa",20,-12,0.0608392554707162,0.0324476029177153,0.0486714043765729,0.0608392554707162,4.862989,-12,20
"123","Mauritius",1261041,"Africa",-20.28,57.55,0.0157764690724259,0.00841411683862715,0.0126211752579407,0.0157764690724259,1.261041,57.55,-20.28
"124","Mexico",128455567,"Central America",23,-102,1.60706533725425,0.857101513202266,1.2856522698034,1.60706533725425,128.455567,-102,23
"125","Micronesia, Fed. Sts.",115224,"Oceania",6.92,158.25,0.00144152955566171,0.000768815763019581,0.00115322364452937,0.00144152955566171,0.115224,158.25,6.92
"126","Moldova",2486891,"Europe",47,29,0.0311126751215816,0.0165934267315102,0.0248901400972653,0.0311126751215816,2.486891,29,47
"127","Monaco",36297,"Europe",43.73,7.4,0.000454099825399684,0.000242186573546498,0.000363279860319748,0.000454099825399684,0.036297,7.4,43.73
"128","Mongolia",3447157,"Asia",46,105,0.0431262471230487,0.0230006651322927,0.034500997698439,0.0431262471230487,3.447157,105,46
"129","Montenegro",616177,"Europe",42,19,0.00770878772667993,0.00411135345422929,0.00616703018134394,0.00770878772667993,0.616177,19,42
"130","Morocco",37840044,"Africa",32,-5,0.473404341226999,0.252482315321066,0.378723472981599,0.473404341226999,37.840044,-5,32
"131","Mozambique",33897354,"Africa",-18.25,35,0.424078643769769,0.22617527667721,0.339262915015815,0.424078643769769,33.897354,35,-18.25
"132","Myanmar",54577997,"Asia",22,98,0.682807364475425,0.364163927720227,0.54624589158034,0.682807364475425,54.577997,98,22
"133","Namibia",2604172,"Africa",-22,17,0.0325799391274967,0.0173759675346649,0.0260639513019973,0.0325799391274967,2.604172,17,-22
"134","Nauru",12780,"Oceania",-0.53,166.92,0.000159886375419676,0.0000852727335571603,0.000127909100335741,0.000159886375419676,0.01278,166.92,-0.53
"135","Nepal",30896590,"Asia",28,84,0.386537072607809,0.206153105390831,0.309229658086247,0.386537072607809,30.89659,84,28
"136","Netherlands",17879488,"Europe",52.5,5.75,0.223684392071955,0.119298342438376,0.178947513657564,0.223684392071955,17.879488,5.75,52.5
"137","New Caledonia",267940,"Oceania",-21.5,165.5,0.00335210918857182,0.00178779156723831,0.00268168735085746,0.00335210918857182,0.26794,165.5,-21.5
"138","New Zealand",5223100,"Oceania",-41,174,0.0653444857163152,0.0348503923820348,0.0522755885730521,0.0653444857163152,5.2231,174,-41
"139","Nicaragua",7046310,"Central America",13,-85,0.0881540661958853,0.0470155019711388,0.0705232529567082,0.0881540661958853,7.04631,-85,13
"140","Niger",27202843,"Africa",16,8,0.340325819122104,0.181507103531789,0.272260655297684,0.340325819122104,27.202843,8,16
"141","Nigeria",223804632,"Africa",10,8,2.79994611992288,2.79994611992288,4.19991917988431,2.79994611992288,223.804632,8,10
"142","North Macedonia",1811980,"Europe",41.83,22,0.0226690856442053,0.0120901790102428,0.0181352685153642,0.0226690856442053,1.81198,22,41.83
"143","Northern Mariana Islands",49796,"Oceania",15.2,145.75,0.000622981373270592,0.000332256732410982,0.000498385098616474,0.000622981373270592,0.049796,145.75,15.2
"144","Norway",5519594,"Europe",62,10,0.0690538246047096,0.0368287064558451,0.0552430596837677,0.0690538246047096,5.519594,10,62
"145","Oman",4644384,"Asia",21,57,0.0581043602360825,0.0309889921259107,0.046483488188866,0.0581043602360825,4.644384,57,21
"146","Pakistan",240485658,"Asia",30,70,3.00863694820311,1.60460637237499,2.40690955856249,3.00863694820311,240.485658,70,30
"147","Palau",18058,"Oceania",7.5,134.5,0.000225917696974061,0.000120489438386166,0.000180734157579249,0.000225917696974061,0.018058,134.5,7.5
"148","Panama",4468087,"South America",9,-80,0.0558987664702482,0.029812675450799,0.0447190131761986,0.0558987664702482,4.468087,-80,9
"149","Papua New Guinea",10329931,"Oceania",-6,147,0.12923436822577,0.0689249963870775,0.103387494580616,0.12923436822577,10.329931,147,-6
"150","Paraguay",6861524,"South America",-23,-58,0.0858422693439057,0.045782543650083,0.0686738154751245,0.0858422693439057,6.861524,-58,-23
"151","Peru",34352719,"South America",-10,-76,0.429775565471097,0.229213634917919,0.343820452376878,0.429775565471097,34.352719,-76,-10
"152","Philippines",117337368,"Asia",13,122,1.4679692074182,0.782916910623041,1.17437536593456,1.4679692074182,117.337368,122,13
"153","Poland",36685849,"Europe",52,20,0.458964587308571,0.244781113231238,0.367171669846856,0.458964587308571,36.685849,20,52
"154","Portugal",10525347,"Europe",39.5,-8,0.131679153510513,0.0702288818722736,0.10534332280841,0.131679153510513,10.525347,-8,39.5
"155","Puerto Rico",3205691,"South America",18.25,-66.5,0.0401053454386131,0.0213895175672603,0.0320842763508905,0.0401053454386131,3.205691,-66.5,18.25
"156","Qatar",2716391,"Asia",25.5,51.25,0.0339838741167941,0.0181247328622902,0.0271870992934352,0.0339838741167941,2.716391,51.25,25.5
"157","Reunion",912,"Africa",-21.1,55.6,0.0000114097319548313,0.00000608519037591003,0.00000912778556386505,0.0000114097319548313,0.000912,55.6,-21.1
"158","Romania",19056116,"Europe",46,25,0.238404797872996,0.127149225532264,0.190723838298397,0.238404797872996,19.056116,25,46
"159","Russian Federation",143826130,"Europe",60,100,1.79936139407974,0.959659410175861,1.43948911526379,1.79936139407974,143.82613,100,60
"160","Rwanda",14094683,"Africa",-2,30,0.17633394190605,0.09404476901656,0.14106715352484,0.17633394190605,14.094683,30,-2
"161","Saint Helena",3.9,"Africa",-15.93,-5.7,0.0000000487916169121076,0.0000000260221956864574,0.0000000390332935296861,0.0000000487916169121076,0.0000039,-5.7,-15.93
"162","Saint Pierre and Miquelon",5.3,"North America",46.83,-56.33,0.0000000663065563164539,0.0000000353634967021087,0.0000000530452450531631,0.0000000663065563164539,0.0000053,-56.33,46.83
"163","Samoa",225681,"Africa",-13.58,-172.33,0.00282342074265163,0.00150582439608087,0.0022587365941213,0.00282342074265163,0.225681,-172.33,-13.58
"164","San Marino",33642,"Europe",43.77,12.42,0.000420883993886442,0.000224471463406102,0.000336707195109153,0.000420883993886442,0.033642,12.42,43.77
"165","Sao Tome and Principe",231856,"Africa",1,7,0.0029006741360958,0.00154702620591776,0.00232053930887664,0.0029006741360958,0.231856,7,1
"166","Saudi Arabia",36947025,"Asia",25,45,0.462232074318477,0.246523772969855,0.369785659454782,0.462232074318477,36.947025,45,25
"167","Senegal",17763163,"Africa",14,-14,0.222229088267519,0.118522180409343,0.177783270614015,0.222229088267519,17.763163,-14,14
"168","Serbia",6618026,"Africa",44,21,0.0827959459759917,0.0441578378538622,0.0662367567807934,0.0827959459759917,6.618026,21,44
"169","Seychelles",119773,"Africa",-4.58,55.67,0.00149844059805484,0.000799168318962579,0.00119875247844387,0.00149844059805484,0.119773,55.67,-4.58
"170","Sierra Leone",8791092,"Africa",8.5,-11.5,0.109982459770024,0.0586573118773461,0.0879859678160192,0.109982459770024,8.791092,-11.5,8.5
"171","Singapore",5917648,"Asia",1.37,103.8,0.0740337472401794,0.0394846651947623,0.0592269977921435,0.0740337472401794,5.917648,103.8,1.37
"172","Sint Maarten (Dutch part)",41163,"North America",18.04,-63.05,0.000514976750500791,0.000274654266933755,0.000411981400400633,0.000514976750500791,0.041163,-63.05,18.04
"173","Slovak Republic",5426740,"Europe",48.67,19.5,0.0678921587593874,0.0362091513383399,0.0543137270075099,0.0678921587593874,5.42674,19.5,48.67
"174","Slovenia",2120937,"Europe",46,15,0.0265343450253115,0.0141516506801661,0.0212274760202492,0.0265343450253115,2.120937,15,46
"175","Solomon Islands",740424,"Oceania",-8,159,0.00926320106680265,0.00494037390229475,0.00741056085344212,0.00926320106680265,0.740424,159,-8
"176","Somalia",18143378,"Africa",10,49,0.226985833042964,0.121059110956248,0.181588666434371,0.226985833042964,18.143378,49,10
"177","South Africa",60414495,"Africa",-29,24,0.755825870763702,0.403107131073975,0.604660696610962,0.755825870763702,60.414495,24,-29
"178","South Sudan",11088796,"Africa",6.88,31.3,0.138728278576541,0.073988415240822,0.110982622861233,0.138728278576541,11.088796,31.3,6.88
"179","Spain",48373336,"Europe",40,-4,0.605182892018631,0.322764209076603,0.484146313614905,0.605182892018631,48.373336,-4,40
"180","Sri Lanka",22037000,"Asia",7,81,0.275697656895414,0.147038750344221,0.220558125516331,0.275697656895414,22.037,81,7
"181","St. Kitts and Nevis",47755,"North America",17.33,-62.75,0.000597447093753256,0.000318638450001736,0.000477957675002605,0.000597447093753256,0.047755,-62.75,17.33
"182","St. Lucia",180251,"North America",13.88,-61.13,0.00225506095898059,0.00120269917812298,0.00180404876718447,0.00225506095898059,0.180251,-61.13,13.88
"183","St. Martin (French part)",32077,"North America",18.04,-63.05,0.000401304793766583,0.000214029223342178,0.000321043835013267,0.000401304793766583,0.032077,-63.05,18.04
"184","St. Vincent and the Grenadines",103698,"North America",13.25,-61.2,0.00129733156167993,0.000691910166229297,0.00103786524934395,0.00129733156167993,0.103698,-61.2,13.25
"185","Sudan",48109006,"Africa",15,30,0.601875946352381,0.32100050472127,0.481500757081905,0.601875946352381,48.109006,30,15
"186","Suriname",623236,"South America",4,-56,0.00779710055329084,0.00415845362842178,0.00623768044263267,0.00779710055329084,0.623236,-56,4
"187","Sweden",10536632,"Europe",62,15,0.131820336432783,0.0703041794308176,0.105456269146226,0.131820336432783,10.536632,15,62
"188","Switzerland",8849852,"Europe",47,8,0.110717586798166,0.0590493796256888,0.0885740694385332,0.110717586798166,8.849852,8,47
"189","Syrian Arab Republic",23227014,"Asia",35,38,0.290585530538502,0.154978949620535,0.232468424430802,0.290585530538502,23.227014,38,35
"190","Tajikistan",10143543,"Asia",39,71,0.126902529278844,0.0676813489487166,0.101522023423075,0.126902529278844,10.143543,71,39
"191","Tanzania",67438106,"Africa",-6,35,0.843695957238488,0.44997117719386,0.674956765790791,0.843695957238488,67.438106,35,-6
"192","Thailand",71801279,"Asia",15,100,0.898282179171117,0.479083828891262,0.718625743336893,0.898282179171117,71.801279,100,15
"193","Timor-Leste",1360596,"Asia",-8.87,125.73,0.01702196892414,0.00907838342620799,0.013617575139312,0.01702196892414,1.360596,125.73,-8.87
"194","Togo",9053799,"Africa",8,1.17,0.113269100617237,0.0604101869958595,0.0906152804937893,0.113269100617237,9.053799,1.17,8
"195","Tonga",107773,"Oceania",-20,-175,0.00134831254601758,0.00071910002454271,0.00107865003681407,0.00134831254601758,0.107773,-175,-20
"196","Trinidad and Tobago",1534937,"South America",11,-61,0.0192030918174922,0.0102416489693292,0.0153624734539938,0.0192030918174922,1.534937,-61,11
"197","Tunisia",12458223,"Africa",34,9,0.15586072923631,0.0831257222593651,0.124688583389048,0.15586072923631,12.458223,9,34
"198","Turkiye",85326000,"Asia",39,35,1.0674855140109,0.569325607472477,0.853988411208716,1.0674855140109,85.326,35,39
"199","Turkmenistan",6516100,"Asia",40,60,0.0815207833233293,0.0434777511057756,0.0652166266586634,0.0815207833233293,6.5161,60,40
