war_name,war_deaths_low,war_deaths_high,civil_war,midpoint,region
Finnish Civil War,7100,11100,Civil war,1918,Europe
Chilean War of Independence,7000,7000,Civil war,1816.5,Americas
Sri Lanka-Tamil War II,6921,7547,Civil war,2008.5,Asia
Second Anglo-Afghan War,6850,8150,Interstate war,1879.5,Asia
India-Pakistan War of 1965,6800,9600,Interstate war,1965,Asia
East Turkestan Gulja Incident,6764,30810,Interstate war,1944.5,Asia
Lebanese War of 1982-84,6756,10095,Interstate war,1983,North Africa and Middle East
Sino-Jahriyya Order War,6590,8250,Interstate war,1871,Asia
First Anglo-Afghan War,6100,9200,Civil war,1840.5,Asia
Nigerian-Biafran War,6000,84000,Civil war,1968.5,Sub-Saharan Africa
Argentine-Brazilian War,6000,6000,Interstate war,1826.5,Americas
First Anglo-Burmese War,5600,24300,Interstate war,1825,Asia
Second Ethiopian War,5500,35000,Civil war,1871,North Africa and Middle East
Rwanda War 1994,5500,5500,Civil war,1994,Sub-Saharan Africa
Lebanese Civil War of 1975-76,5500,11500,Civil war,1975.5,North Africa and Middle East
Ashanti-British War,5458,6477,Interstate war,1824.5,Sub-Saharan Africa
1948 Palestine War,5184,10500,Interstate war,1948.5,North Africa and Middle East
Argentine War of Independence,5158,5158,Civil war,1814,Americas
Chilean Civil War,5100,6100,Civil war,1891,Americas
Anti-Monarchical War,5080,6080,Civil war,1915.5,Asia
Uruguayan Civil War,5028,8500,Civil war,1843.5,Americas
Turko Persian War,5000,5000,Interstate war,1821.5,North Africa and Middle East
Sino-Sikh War,5000,11000,Interstate war,1841.5,Asia
Six Day War,4985,22483,Interstate war,1967,North Africa and Middle East
Khoja Rebellion I (East Turkestan),4800,4800,Civil war,1828,Asia
Peruvian War of Independence,4800,4800,Civil war,1822,Americas
Argentine Unitarian-Federalist War,4500,5500,Civil war,1829.5,Americas
First Opium War,4369,20364,Interstate war,1840.5,Asia
Russia-Khokand Khanate War,4214,6100,Interstate war,1875.5,Asia
Gwalior War,4141,4997,Interstate war,1843,Asia
Siege of Bharatpur,4106,8400,Interstate war,1825.5,Asia
Anglo-Baluch War,4039,6475,Interstate war,1843,Asia
Boshin War,4000,4000,Civil war,1868.5,Asia
Kashgaria-Urumchi Dungan War,4000,7000,Interstate war,1871,Asia
Farroupilha Revolution,3893,5843,Civil war,1840,Americas
Siamese-Vietnamese War,3880,3880,Interstate war,1833.5,Asia
US-Iraq War,3765,13615,Interstate war,2003,North Africa and Middle East
Russia-Khokandian War,3747,8777,Interstate war,1864.5,Asia
War of the Golden Stool,3692,5000,Interstate war,1900,Sub-Saharan Africa
Second Schleswig-Holstein War,3600,5500,Interstate war,1864,Europe
First Schleswig-Holstein War,3552,6000,Interstate war,1849,Europe
Franco-Tukulor War,3530,3530,Interstate war,1858,Sub-Saharan Africa
Ottoman Conquest of Arabia,3444,10556,Interstate war,1871,North Africa and Middle East
French-Algerian War,3400,3600,Interstate war,1830,North Africa and Middle East
Second Opium War,3300,3300,Interstate war,1858,Asia
Anglo-Ashanti War,3195,4196,Interstate war,1873.5,Sub-Saharan Africa
Sino-Soviet War,3143,3143,Interstate war,1929,Asia
War of 1812,3140,5260,Interstate war,1813.5,Americas
Boxer Rebellion,3136,3549,Interstate war,1900.5,Asia
Second Anglo-Boer War,3129,3863,Interstate war,1899.5,Sub-Saharan Africa
Sino-Kuchean Muslim War,3100,3300,Interstate war,1864.5,Asia
Second Dominican War,3030,5600,Interstate war,1846.5,Americas
Afghan-Sikh War,3000,17000,Interstate war,1837,Asia
Second Turko-Egyptian War,3000,3100,Civil war,1839.5,North Africa and Middle East
War of the Confederation,2950,3000,Interstate war,1838,Americas
First Sino-Japanese War,2864,15000,Interstate war,1894.5,Asia
Russo-Turkomen War,2708,10575,Interstate war,1879.5,Asia
Toyota War,2700,10000,Interstate war,1987,North Africa and Middle East
First Central American War,2600,6000,Interstate war,1876,Americas
Franco-Dahomean War,2597,5044,Interstate war,1891,Sub-Saharan Africa
British Expedition to Tibet,2540,3000,Interstate war,1904,Asia
Third Maratha War,2522,6449,Interstate war,1817.5,Asia
War of the Roman Republic,2500,2500,Civil war,1849,Europe
Melilla War,2500,2500,Interstate war,1893.5,North Africa and Middle East
India-Pakistan War of 1947,2500,4000,Interstate war,1948,Asia
British-Sokoto Caliphate War,2393,4469,Interstate war,1900,Sub-Saharan Africa
First Turko-Egyptian War,2364,7862,Civil war,1832,North Africa and Middle East
Second Spanish-Moroccan War,2300,10000,Interstate war,1909,North Africa and Middle East
First Egba-Dahomey War,2300,3300,Interstate war,1851,Sub-Saharan Africa
Anglo-Egyptian War,2260,2329,Interstate war,1882,North Africa and Middle East
Sino-Indian War,2105,2423,Interstate war,1962,Asia
Austro-Venetian War,2100,2100,Civil war,1849,Europe
Venezuelan Civil War,2100,2100,Civil war,1899,Americas
