who,TEAGE,category,n,N,p,X,Y,whofct
Alone,36,Family,0,0,0,0.7260841836734694,100,Alone
Alone,36,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,36,Work,0,0,0,0.7260841836734694,100,Alone
Alone,37,Alone,926,4099,0.22590875823371553,0.7260841836734694,100,Alone
Alone,37,Family,0,0,0,0.7260841836734694,100,Alone
Alone,37,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,37,Work,0,0,0,0.7260841836734694,100,Alone
Alone,38,Alone,940,4147,0.22666988184229564,0.7260841836734694,100,Alone
Alone,38,Family,0,0,0,0.7260841836734694,100,Alone
Alone,38,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,38,Work,0,0,0,0.7260841836734694,100,Alone
Alone,39,Alone,939,3900,0.24076923076923076,0.7260841836734694,100,Alone
Alone,39,Family,0,0,0,0.7260841836734694,100,Alone
Alone,39,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,39,Work,0,0,0,0.7260841836734694,100,Alone
Alone,40,Alone,938,3812,0.24606505771248688,0.7260841836734694,100,Alone
Alone,40,Family,0,0,0,0.7260841836734694,100,Alone
Alone,40,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,40,Work,0,0,0,0.7260841836734694,100,Alone
Alone,41,Alone,1000,4467,0.2238638907544213,0.7260841836734694,100,Alone
Alone,41,Family,0,0,0,0.7260841836734694,100,Alone
Alone,41,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,41,Work,0,0,0,0.7260841836734694,100,Alone
Alone,42,Alone,843,2989,0.28203412512546,0.7260841836734694,100,Alone
Alone,42,Family,0,0,0,0.7260841836734694,100,Alone
Alone,42,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,42,Work,0,0,0,0.7260841836734694,100,Alone
Alone,43,Alone,905,3067,0.2950766221062928,0.7260841836734694,100,Alone
Alone,43,Family,0,0,0,0.7260841836734694,100,Alone
Alone,43,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,43,Work,0,0,0,0.7260841836734694,100,Alone
Alone,44,Alone,772,3286,0.23493609251369446,0.7260841836734694,100,Alone
Alone,44,Family,0,0,0,0.7260841836734694,100,Alone
Alone,44,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,44,Work,0,0,0,0.7260841836734694,100,Alone
Alone,45,Alone,927,3019,0.30705531632991057,0.7260841836734694,100,Alone
Alone,45,Family,0,0,0,0.7260841836734694,100,Alone
Alone,45,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,45,Work,0,0,0,0.7260841836734694,100,Alone
Alone,46,Alone,724,2069,0.3499275012083132,0.7260841836734694,100,Alone
Alone,46,Family,0,0,0,0.7260841836734694,100,Alone
Alone,46,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,46,Work,0,0,0,0.7260841836734694,100,Alone
