WKT,fid,id,pruid,pk,hydrouid,rank,name
"MULTIPOLYGON (((-114.040409234 50.902980745,-114.040046685 50.9030377590001,-114.039520475 50.902882413,-114.039280027 50.902464067,-114.039285975 50.902214712,-114.039181584 50.9020393660001,-114.038983624 50.901984999,-114.038687066 50.902047785,-114.038267697 50.9022230770001,-114.037918213 50.902337564,-114.037637832 50.9023941250001,-114.037343776 50.902325954,-114.037181225 50.902207724,-114.037125043 50.9021173080001,-114.037149368 50.9019876710001,-114.03739256 50.9014243440001,-114.037363902 50.9012083440001,-114.03718895 50.9008527970001,-114.0370904 50.9007175780001,-114.037179066 50.9004735730001,-114.037389583 50.900333097,-114.037845669 50.90014934,-114.038026195 50.8998842230001,-114.038093081 50.8997109860001,-114.038519088 50.899547291,-114.038925016 50.8996382000001,-114.03932419 50.899862193,-114.039887082 50.9001538130001,-114.04069389 50.900363064,-114.041260218 50.9002986660001,-114.041779759 50.9001529440001,-114.042336134 50.8998540360001,-114.042560055 50.8994473390001,-114.042735546 50.899064954,-114.042905952 50.8988547330001,-114.043248424 50.898762854,-114.043731171 50.8989150080001,-114.044168778 50.899314356,-114.044517829 50.899668267,-114.044763322 50.9002038560001,-114.04506232 50.9005429680001,-114.045750489 50.9013057220001,-114.045812243 50.901594118,-114.04566521 50.901917358,-114.045028657 50.9022215620001,-114.043718848 50.902548982,-114.042826737 50.9025172180001,-114.04238236 50.902395691,-114.041899558 50.9023882500001,-114.041054194 50.9025825460001,-114.040771803 50.9027790090001,-114.040409234 50.902980745)))",21,147633,"48",147633,"7943258",5,Sundance Lake
"MULTIPOLYGON (((-114.004437545 50.9383880720001,-114.004506884 50.9384168340001,-114.004565457 50.9383913550001,-114.004635978 50.9384021540001,-114.004845684 50.9384615000001,-114.005663123 50.938590419,-114.005943328 50.9386605930001,-114.006627072 50.9388760140001,-114.006846969 50.93899859,-114.00684466 50.9390345320001,-114.006739971 50.939112794,-114.006369865 50.9391122920001,-114.005698015 50.938933132,-114.005359794 50.9388794760001,-114.004901518 50.938921689,-114.004631456 50.938914755,-114.004227366 50.9387784610001,-114.003847082 50.9387147140001,-114.003708443 50.9386571810001,-114.003462414 50.9384979420001,-114.003481248 50.9384264600001,-114.003640462 50.9383855890001,-114.004437545 50.9383880720001)))",22,147738,"48",147738,"7248020",7,
"MULTIPOLYGON (((-114.03166154 50.862931744,-114.032439666 50.863049888,-114.032877855 50.8630880190001,-114.033171881 50.8631584720001,-114.033293866 50.8632515360001,-114.033305779 50.8632878100001,-114.033055982 50.863416396,-114.033053687 50.8634523050001,-114.033204665 50.8635371070001,-114.033275614 50.8635389240001,-114.033524187 50.863653174,-114.033574687 50.863753403,-114.033527539 50.8638241680001,-114.033394119 50.863910725,-114.032981563 50.8636933400001,-114.032795363 50.8637156010001,-114.032621651 50.8637651450001,-114.032480304 50.8637525510001,-114.032082501 50.8635265440001,-114.031947978 50.8634061810001,-114.031793711 50.8631504,-114.031725006 50.863112657,-114.03140262 50.8630414850001,-114.031018278 50.8629567420001,-114.031257153 50.8629269670001,-114.03166154 50.862931744)))",23,147860,"48",147860,"6879394",5,
"MULTIPOLYGON (((-114.171026352 51.0794100960001,-114.171093779 51.0794746880001,-114.170619987 51.0797510510001,-114.170110523 51.080143476,-114.169674005 51.0802768090001,-114.169529781 51.08030031,-114.169388292 51.0802788740001,-114.169393784 51.0799552010001,-114.169497988 51.0798857570001,-114.169716233 51.079819108,-114.170221323 51.0797323850001,-114.170766431 51.0794577780001,-114.171026352 51.0794100960001)))",24,147963,"48",147963,"6705593",7,
"MULTIPOLYGON (((-114.245136754 51.0998000210001,-114.246154767 51.0999769330001,-114.246407832 51.1000458550001,-114.246769663 51.1002072950001,-114.247236002 51.1005330870001,-114.247739405 51.1007158610001,-114.247778481 51.1007797190001,-114.247603004 51.100847548,-114.247161328 51.1008281530001,-114.246865466 51.1007582340001,-114.246548044 51.100570841,-114.246261268 51.1003482180001,-114.245676546 51.1000915800001,-114.245168884 51.0999806890001,-114.244658532 51.099914664,-114.244591459 51.0998411510001,-114.244765351 51.0998002690001,-114.245136754 51.0998000210001)))",25,147985,"48",147985,"8083138",7,
"MULTIPOLYGON (((-113.979562485 50.8580213860001,-113.979775298 50.858015949,-113.980354887 50.858190042,-113.980606956 50.858354487,-113.980821648 50.8586008870001,-113.980827969 50.858699663,-113.980901785 50.8587427460001,-113.980972843 50.858965819,-113.980939574 50.859335463,-113.980861911 50.8594543820001,-113.980725181 50.8595388270001,-113.980569117 50.8595428280001,-113.980216503 50.859362935,-113.979998404 50.8590626910001,-113.97966676 50.8587653310001,-113.979557138 50.858606195,-113.979409964 50.8583041250001,-113.979419558 50.8582319270001,-113.979480187 50.858068454,-113.979562485 50.8580213860001)))",26,147990,"48",147990,"8151240",7,
"MULTIPOLYGON (((-114.140777271 50.9870797180001,-114.140754906 50.986980218,-114.140935056 50.9868317180001,-114.141662406 50.9868225340001,-114.141802468 50.986861961,-114.141953481 50.9869555980001,-114.141973682 50.9870910160001,-114.142206742 50.9872406220001,-114.142563006 50.987240366,-114.14267905 50.987207222,-114.142788481 50.9872818580001,-114.142636274 50.987440032,-114.142518025 50.987509102,-114.142154553 50.9876261420001,-114.141722664 50.9876965170001,-114.141495535 50.987681953,-114.14105458 50.9874373060001,-114.140828127 50.9871798940001,-114.140777271 50.9870797180001)))",27,148042,"48",148042,"7885398",7,
"MULTIPOLYGON (((-114.034137769 50.9785720940001,-114.034134915 50.978616979,-114.033206611 50.979097101,-114.032891947 50.9791160970001,-114.032864633 50.9790974260001,-114.032869223 50.9790255550001,-114.032931864 50.9789372060001,-114.033229551 50.9787378880001,-114.033840185 50.9785465250001,-114.034137769 50.9785720940001)))",28,148095,"48",148095,"6314740",7,
"MULTIPOLYGON (((-114.000000004 51.0368606470001,-114.00000001 51.0366532850001,-114.00000021 51.0366172110001,-114.000685944 51.0368237150001,-114.001004247 51.0369758090001,-114.001660039 51.0374244020001,-114.003171456 51.0385426140001,-114.004609405 51.0396948900001,-114.005256285 51.0400622870001,-114.005625203 51.040314605,-114.006096523 51.0407494660001,-114.006526023 51.041390117,-114.00680293 51.0419639180001,-114.007089083 51.042394018,-114.007340625 51.0426973020001,-114.007783488 51.043131411,-114.00867967 51.043837979,-114.009695636 51.0444576620001,-114.010334139 51.0447348760001,-114.010774362 51.0449890230001,-114.010983998 51.0450573580001,-114.011313196 51.0452636580001,-114.011605402 51.0453790810001,-114.011571103 51.0454681580001,-114.011426926 51.045491455,-114.011063489 51.045374188,-114.010229584 51.0450290430001,-114.008900773 51.0443923510001,-114.008462311 51.044111264,-114.007630379 51.043514271,-114.007049147 51.0430136300001,-114.00665538 51.0424818340001,-114.006559954 51.0421915580001,-114.006228999 51.0415714090001,-114.005912028 51.0411764910001,-114.004927833 51.0402877290001,-114.004137607 51.039709776,-114.003018595 51.03870061,-114.001076641 51.0374004270001,-114.000000004 51.0368606470001)))",29,148176,"48",148176,"8186806",6,
"MULTIPOLYGON (((-114.030581917 51.0429487990001,-114.031018331 51.0430408650001,-114.031272429 51.043083289,-114.031410282 51.043158749,-114.031336206 51.0432018390001,-114.031151014 51.0431971500001,-114.030982388 51.0431568720001,-114.030620604 51.043012752,-114.030581917 51.0429487990001)))",30,149058,"48",149058,"6907817",7,
