WKT,id,b_travel_time,travel_time
"POLYGON ((-114.050246526956 50.9040439435288,-114.049016662712 50.9053929588905,-114.046554031026 50.9053939667751,-114.045321405866 50.9040459592017,-114.046551341459 50.9026969824329,-114.049013830871 50.9026959746446,-114.050246526956 50.9040439435288))",10051,103,60
"POLYGON ((-114.050255237898 50.9121348904781,-114.049025160847 50.9134839041105,-114.04656210221 50.9134849122841,-114.045329262969 50.912136906729,-114.046559411402 50.9107879317007,-114.0490223277 50.9107869236235,-114.050255237898 50.9121348904781))",10048,97,62
"POLYGON ((-114.050252333804 50.9094379094146,-114.0490223277 50.9107869236235,-114.046559411402 50.9107879317007,-114.045326643532 50.9094399254728,-114.046556721007 50.9080909498644,-114.049019494988 50.9080899418835,-114.050252333804 50.9094379094146))",10049,100,59
"POLYGON ((-114.046852427656 51.2020546008793,-114.045614551189 51.2034035133595,-114.043136062257 51.2034044532144,-114.041895594518 51.2020564804992,-114.043133543545 51.2007076070298,-114.045611887758 51.2007066672648,-114.046852427656 51.2020546008793))",10078,170,179
"POLYGON ((-114.046849692077 51.1993577542065,-114.045611887758 51.2007066672648,-114.043133543545 51.2007076070298,-114.041893148354 51.1993596336464,-114.043131025222 51.1980107595951,-114.045609224739 51.1980098199201,-114.046849692077 51.1993577542065))",10079,170,179
"POLYGON ((-114.046857900083 51.2074482904746,-114.045619879287 51.2087972017986,-114.04314110085 51.2087981418336,-114.041900487981 51.2074501704546,-114.043138581359 51.206101298149,-114.045617215032 51.206100358204,-114.046857900083 51.2074482904746))",10076,166,160
"POLYGON ((-114.046855163658 51.204751446302,-114.045617215032 51.206100358204,-114.043138581359 51.206101298149,-114.04189804106 51.2047533261019,-114.043136062257 51.2034044532144,-114.045614551189 51.2034035133595,-114.046855163658 51.204751446302))",10077,168,167
"POLYGON ((-114.046860636931 51.2101451333973,-114.045622543954 51.2114940441431,-114.043143620731 51.2114949842681,-114.041902935279 51.2101470135573,-114.04314110085 51.2087981418336,-114.045619879287 51.2087972017986,-114.046860636931 51.2101451333973))",10075,165,155
"POLYGON ((-114.050185662739 50.847406999095,-114.048957285395 50.8487560265666,-114.046497636865 50.8487570324311,-114.045266507502 50.8474090107279,-114.046494955966 50.8460600217711,-114.048954462681 50.8460590160027,-114.050185662739 50.847406999095))",10072,,145
"POLYGON ((-114.050191450871 50.8528010176159,-114.048962932123 50.8541500439339,-114.046502999898 50.8541510499905,-114.045271728287 50.8528030296332,-114.046500318176 50.8514540418375,-114.048960108542 50.851453035877,-114.050191450871 50.8528010176159))",10070,,153
"POLYGON ((-114.050188556583 50.8501040089822,-114.048960108542 50.851453035877,-114.046500318176 50.8514540418375,-114.045269117694 50.8501060208072,-114.046497636865 50.8487570324311,-114.048957285395 50.8487560265666,-114.050188556583 50.8501040089822))",10071,,147
"POLYGON ((-114.050197240782 50.8581950311231,-114.048968580588 50.8595440562874,-114.04650836458 50.8595450625363,-114.045276950676 50.8581970435247,-114.046505682033 50.8568480568901,-114.048965756139 50.8568470507373,-114.050197240782 50.8581950311231))",10068,,164
"POLYGON ((-114.050194345604 50.8554980249962,-114.048965756139 50.8568470507373,-114.046505682033 50.8568480568901,-114.045274339281 50.8555000372057,-114.046502999898 50.8541510499905,-114.048962932123 50.8541500439339,-114.050194345604 50.8554980249962))",10069,,157
"POLYGON ((-114.050203032473 50.8635890396166,-114.048974230789 50.8649380636274,-114.046513730911 50.8649390700685,-114.045282174671 50.8635910524027,-114.04651104754 50.8622420669291,-114.048971405471 50.8622410605841,-114.050203032473 50.8635890396166))",10066,152,104
"POLYGON ((-114.050200136405 50.8608920359965,-114.048971405471 50.8622410605841,-114.04651104754 50.8622420669291,-114.045279562473 50.8608940485904,-114.04650836458 50.8595450625363,-114.048968580588 50.8595440562874,-114.050200136405 50.8608920359965))",10067,154,106
"POLYGON ((-114.050208825944 50.8689830430966,-114.048979882727 50.870332065954,-114.046519098892 50.8703330725875,-114.045287400272 50.8689850562674,-114.046516414695 50.8676360719547,-114.048977056541 50.8676350654173,-114.050208825944 50.8689830430966))",10064,146,90
"POLYGON ((-114.050205928986 50.8662860419833,-114.048977056541 50.8676350654173,-114.046516414695 50.8676360719547,-114.04528478727 50.8662880549617,-114.046513730911 50.8649390700685,-114.048974230789 50.8649380636274,-114.050205928986 50.8662860419833))",10065,139,91
"POLYGON ((-114.046808709097 51.1589049040863,-114.04557198566 51.1602538258193,-114.043095809545 51.1602547642354,-114.041856501236 51.1589067808287,-114.043093297053 51.1575578980463,-114.045569328807 51.15755695972,-114.046808709097 51.1589049040863))",10094,81,74
"POLYGON ((-114.046805980275 51.1562080374085,-114.045569328807 51.15755695972,-114.043093297053 51.1575578980463,-114.041854061114 51.1562099139713,-114.04309078495 51.1548610306066,-114.045566672365 51.1548600923701,-114.046805980275 51.1562080374085))",10095,79,67
"POLYGON ((-114.046814168007 51.1642986336903,-114.045577300596 51.1656475542664,-114.043100835692 51.1656484928623,-114.041861382611 51.1643005107922,-114.043098322424 51.1629516291741,-114.045574642923 51.1629506906681,-114.046814168007 51.1642986336903))",10092,85,72
"POLYGON ((-114.046811438341 51.1616017695136,-114.045574642923 51.1629506906681,-114.043098322424 51.1629516291741,-114.041858941735 51.1616036464357,-114.043095809545 51.1602547642354,-114.04557198566 51.1602538258193,-114.046811438341 51.1616017695136))",10093,82,76
"POLYGON ((-114.046819628604 51.1696923582925,-114.045582617176 51.1710412777119,-114.043105863393 51.1710422164874,-114.041866265495 51.1696942357538,-114.043103349348 51.1683453553001,-114.045579958681 51.1683444166144,-114.046819628604 51.1696923582925))",10090,87,73
"POLYGON ((-114.046816898094 51.1669954966166,-114.045579958681 51.1683444166144,-114.043103349348 51.1683453553001,-114.041863823864 51.1669973738982,-114.043100835692 51.1656484928623,-114.045577300596 51.1656475542664,-114.046816898094 51.1669954966166))",10091,86,76
"POLYGON ((-114.046825090888 51.1750860778931,-114.045587935399 51.1764349961557,-114.043110892648 51.1764359351111,-114.041871149889 51.175087955714,-114.043108377826 51.1737390764245,-114.045585276082 51.173738137559,-114.046825090888 51.1750860778931))",10088,92,76
"POLYGON ((-114.046822359535 51.172389218718,-114.045585276082 51.173738137559,-114.043108377826 51.1737390764245,-114.041868707503 51.1723910963591,-114.043105863393 51.1710422164874,-114.045582617176 51.1710412777119,-114.046822359535 51.172389218718))",10089,90,70
"POLYGON ((-114.046830554862 51.1804797924923,-114.045593255266 51.1818287095983,-114.043115923457 51.1818296487335,-114.041876035792 51.1804816706728,-114.043113407858 51.1791327925474,-114.045590595127 51.1791318535022,-114.046830554862 51.1804797924923))",10086,114,115
"POLYGON ((-114.046827822664 51.1777829358179,-114.045590595127 51.1791318535022,-114.043113407858 51.1791327925474,-114.041873592651 51.1777848138185,-114.043110892648 51.1764359351111,-114.045587935399 51.1764349961557,-114.046827822664 51.1777829358179))",10087,108,111
"POLYGON ((-114.046836020525 51.1858735020903,-114.045598576778 51.1872224180397,-114.043120955822 51.1872233573548,-114.041880923206 51.1858753806305,-114.043118439445 51.1845265036693,-114.045595915816 51.1845255644441,-114.046836020525 51.1858735020903))",10084,114,147
"POLYGON ((-114.046833287482 51.1831766479164,-114.045595915816 51.1845255644441,-114.043118439445 51.1845265036693,-114.04187847931 51.1831785262768,-114.043115923457 51.1818296487335,-114.045593255266 51.1818287095983,-114.046833287482 51.1831766479164))",10085,111,144
"POLYGON ((-114.046841487878 51.1912672066873,-114.045603899935 51.1926161214802,-114.043125989744 51.1926170609752,-114.041885812131 51.1912690855874,-114.043123472588 51.1899202097901,-114.045601238151 51.1899192703851,-114.046841487878 51.1912672066873))",10082,175,
"POLYGON ((-114.04683875399 51.1885703550139,-114.045601238151 51.1899192703851,-114.043123472588 51.1899202097901,-114.04188336748 51.188572233734,-114.043120955822 51.1872233573548,-114.045598576778 51.1872224180397,-114.04683875399 51.1885703550139))",10083,135,103
"POLYGON ((-114.046846956921 51.1966609062836,-114.045609224739 51.1980098199201,-114.043131025222 51.1980107595951,-114.041890702568 51.1966627855435,-114.043128507288 51.1953139109102,-114.045606562131 51.1953129713253,-114.046846956921 51.1966609062836))",10080,172,
"POLYGON ((-114.046844222188 51.1939640571105,-114.045606562131 51.1953129713253,-114.043128507288 51.1953139109102,-114.041888257161 51.1939659361905,-114.043125989744 51.1926170609752,-114.045603899935 51.1926161214802,-114.046844222188 51.1939640571105))",10081,174,
"POLYGON ((-114.04676509848 51.1157548871631,-114.045529525228 51.1171038181536,-114.043055656219 51.1171047551335,-114.041817504475 51.1157567610333,-114.043053149929 51.1144078689331,-114.045526874932 51.1144069320428,-114.04676509848 51.1157548871631))",10110,63,53
"POLYGON ((-114.046762376392 51.1130580004736,-114.045526874932 51.1144069320428,-114.043053149929 51.1144078689331,-114.041815070375 51.1130598741645,-114.043050644026 51.1117109814818,-114.045524225046 51.1117100446811,-114.046762376392 51.1130580004736))",10111,62,53
"POLYGON ((-114.046770543916 51.1211486567893,-114.045534827046 51.1224975866223,-114.043060669961 51.1224985237817,-114.041822373802 51.1211505310183,-114.043058162896 51.1198016400831,-114.045532175932 51.1198007030134,-114.046770543916 51.1211486567893))",10108,67,65
"POLYGON ((-114.046767820988 51.1184517726016,-114.045532175932 51.1198007030134,-114.043058162896 51.1198016400831,-114.041819938951 51.1184536466513,-114.043055656219 51.1171047551335,-114.045529525228 51.1171038181536,-114.046767820988 51.1184517726016))",10109,65,55
"POLYGON ((-114.046775991034 51.126542421412,-114.045540130502 51.1278913500877,-114.043065685251 51.1278922874264,-114.041827244634 51.1265442959998,-114.043063177412 51.1251954062295,-114.045537478569 51.1251944689804,-114.046775991034 51.126542421412))",10106,70,71
"POLYGON ((-114.046773267265 51.1238455397261,-114.045537478569 51.1251944689804,-114.043063177412 51.1251954062295,-114.04182480903 51.1238474141345,-114.043060669961 51.1224985237817,-114.045534827046 51.1224975866223,-114.046773267265 51.1238455397261))",10107,69,68
"POLYGON ((-114.046781439834 51.1319361810314,-114.045545435595 51.1332851085498,-114.04307070209 51.133286046068,-114.041832116969 51.1319380559781,-114.043068193477 51.1305891673726,-114.045542782844 51.1305882299441,-114.046781439834 51.1319361810314))",10104,62,74
"POLYGON ((-114.046778715224 51.1292393018471,-114.045542782844 51.1305882299441,-114.043068193477 51.1305891673726,-114.041829680613 51.1292411766144,-114.043065685251 51.1278922874264,-114.045540130502 51.1278913500877,-114.046778715224 51.1292393018471))",10105,73,78
"POLYGON ((-114.046786890318 51.1373299356477,-114.045550742328 51.1386788620089,-114.043075720479 51.1386797997066,-114.04183699081 51.1373318109534,-114.043073211091 51.1359829235127,-114.045548088757 51.1359819859047,-114.046786890318 51.1373299356477))",10102,65,72
"POLYGON ((-114.046784164866 51.1346330589649,-114.045548088757 51.1359819859047,-114.043073211091 51.1359829235127,-114.041834553701 51.1346349340911,-114.04307070209 51.133286046068,-114.045545435595 51.1332851085498,-114.046784164866 51.1346330589649))",10103,63,73
"POLYGON ((-114.046792342485 51.1427236852612,-114.0455560507 51.1440726104652,-114.043080740418 51.1440735483424,-114.041841866156 51.1427255609259,-114.043078230255 51.1413766746498,-114.045553396309 51.1413757368624,-114.046792342485 51.1427236852612))",10100,68,64
"POLYGON ((-114.046789616191 51.1400268110798,-114.045553396309 51.1413757368624,-114.043078230255 51.1413766746498,-114.041839428295 51.140028686565,-114.043075720479 51.1386797997066,-114.045550742328 51.1386788620089,-114.046789616191 51.1400268110798))",10101,67,67
"POLYGON ((-114.046797796337 51.1481174298719,-114.045561360712 51.1494663539188,-114.043085761908 51.1494672919757,-114.041846743009 51.1481193058958,-114.043083250969 51.1467704207844,-114.045558705501 51.1467694828173,-114.046797796337 51.1481174298719))",10098,73,69
"POLYGON ((-114.0467950692 51.1454205581919,-114.045558705501 51.1467694828173,-114.043083250969 51.1467704207844,-114.041844304394 51.1454224340362,-114.043080740418 51.1440735483424,-114.0455560507 51.1440726104652,-114.0467950692 51.1454205581919))",10099,71,71
"POLYGON ((-114.046803251874 51.1535111694802,-114.045566672365 51.1548600923701,-114.04309078495 51.1548610306066,-114.041851621369 51.1535130458634,-114.043088273235 51.1521641619164,-114.045564016334 51.1521632237698,-114.046803251874 51.1535111694802))",10096,77,68
"POLYGON ((-114.046800523895 51.1508143003014,-114.045564016334 51.1521632237698,-114.043088273235 51.1521641619164,-114.041849182 51.1508161765049,-114.043085761908 51.1494672919757,-114.045561360712 51.1494663539188,-114.046800523895 51.1508143003014))",10097,75,70
"POLYGON ((-114.050401014069 51.0469823467383,-114.04916737576 51.0483313315733,-114.046697172152 51.0483323445781,-114.0454607503 51.046984372651,-114.046694460543 51.0456354266068,-114.049164520712 51.0456344136989,-114.050401014069 51.0469823467383))",9998,8,22
"POLYGON ((-114.050398087527 51.0442854282884,-114.049164520712 51.0456344136989,-114.046694460543 51.0456354266068,-114.045458110615 51.0442874540073,-114.046691749353 51.0429385073839,-114.049161666105 51.0429374945729,-114.050398087527 51.0442854282884))",9999,7,18
"POLYGON ((-114.050406868507 51.0523761798832,-114.049173087177 51.0537251635673,-114.046702596623 51.0537261767659,-114.045466030891 51.0523782061836,-114.046699884178 51.0510292612978,-114.049170231248 51.0510282481961,-114.050406868507 51.0523761798832))",9996,11,24
