"anoms.S","X1980.1990","X1991.2001","X2002.2012","X2013.2023"
6.1,0,0.00089,0.00486,0.01782
6.15,0,0.00086,0.00379,0.01504
6.2,0,0.00096,0.00331,0.02404
6.25,0,0.00094,0.00244,0.01402
6.3,0,0.00369,0.00185,0.02038
6.35,0,0,0.00063,0.01511
6.4,0,0,0.00161,0.0174
6.45,0.00089,0,0.00343,0.0158
6.5,0,0,0.00326,0.01174
6.55,0,0.00186,0.00222,0.00719
6.6,0,0,0.00094,0.01247
6.65,0,0,0.00068,0.01201
6.7,0,0,0.00065,0.00764
6.75,0,0,0,0.01328
6.8,0,0,0,0.01546
6.85,0,0,0,0.00769
6.9,0,0,0,0.00472
6.95,0,0.00087,0.00068,0.00838
7,0,0,0,0.00883
7.05,0,0,0.0016,0.00666
7.1,0,0,0.00095,0.0033
7.15,0,0,7e-04,0.00545
7.2,0,0,0.00068,0.0114
7.25,0,0,0.00137,0.00648
7.3,0,0,0,0.00566
7.35,0,0,0,0.00197
7.4,0,0,0,0.00764
7.45,0,0,0,0.0047
7.5,0,0,0.00133,0.00191
7.55,0,0.00085,0.00226,0.00195
7.6,0,0,0,0.00275
7.65,0,0.00093,0.00068,5e-04
7.7,0,0,0.00065,0.00145
7.75,0,0,0,0.00097
7.8,0,0,0,0.00196
7.85,0,0,0,0.00092
7.9,0,0,0,0.00097
7.95,0,0,0.00095,0.00295
8,0,0,0,0.00289
