GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GREENSEFA;6;0.83;CONSTITUTIVE;2024-07-23 11:07
SD;4;0.56;CONSTITUTIVE;2024-07-23 11:07
EPP;6;0.83;CONSTITUTIVE;2024-07-23 11:07
ECR;1;0.14;CONSTITUTIVE;2024-07-23 11:07
Renew;7;0.97;CONSTITUTIVE;2024-07-23 11:07
Theleft;1;0.14;CONSTITUTIVE;2024-07-23 11:07
PfE;6;0.83;CONSTITUTIVE;2024-07-23 11:07
