GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;4;0.56;CONSTITUTIVE;2024-07-15 17:47
SD;1;0.14;CONSTITUTIVE;2024-07-15 17:47
Renew;6;0.83;CONSTITUTIVE;2024-07-15 17:47
Theleft;3;0.42;CONSTITUTIVE;2024-07-15 17:47
