GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;10;1.39;CONSTITUTIVE;2024-07-16 13:26
SD;11;1.53;CONSTITUTIVE;2024-07-16 13:26
ECR;6;0.83;CONSTITUTIVE;2024-07-16 13:26
Renew;3;0.42;CONSTITUTIVE;2024-07-16 13:26
GREENSEFA;1;0.14;CONSTITUTIVE;2024-07-16 13:26
NI;2;0.28;CONSTITUTIVE;2024-07-16 13:26
