GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;31;4.31;CONSTITUTIVE;2024-07-15 17:47
SD;14;1.94;CONSTITUTIVE;2024-07-15 17:47
Renew;8;1.11;CONSTITUTIVE;2024-07-15 17:47
Theleft;4;0.56;CONSTITUTIVE;2024-07-15 17:47
GREENSEFA;15;2.08;CONSTITUTIVE;2024-07-15 17:47
ESN;14;1.94;CONSTITUTIVE;2024-07-15 17:47
NI;10;1.39;CONSTITUTIVE;2024-07-15 17:47
