;Median_1999;Year;Median_2014;Year
Los Angeles-Long Beach-Anaheim, CA;60.383;1.999;55.920;2014
Louisville/Jefferson County, KY-IN;73.140;1.999;65.717;2014
Lubbock, TX;56.760;1.999;57.302;2014
Lynchburg, VA;66.588;1.999;63.636;2014
Madera, CA;51.623;1.999;48.332;2014
Manchester-Nashua, NH;73.656;1.999;75.099;2014
Mansfield, OH;68.194;1.999;55.544;2014
McAllen-Edinburg-Mission, TX;40.015;1.999;39.752;2014
Medford, OR;60.860;1.999;52.151;2014
Memphis, TN-MS-AR;68.564;1.999;59.841;2014
Merced, CA;52.031;1.999;44.657;2014
Miami-Fort Lauderdale-West Palm Beach, FL;60.761;1.999;52.686;2014
Michigan City-La Porte, IN;77.371;1.999;59.796;2014
Midland, TX;66.433;1.999;90.743;2014
Milwaukee-Waukesha-West Allis, WI;79.736;1.999;68.056;2014
Minneapolis-St. Paul-Bloomington, MN-WI;84.164;1.999;78.676;2014
Mobile, AL;60.928;1.999;59.368;2014
Modesto, CA;60.461;1.999;54.269;2014
Monroe, LA;59.838;1.999;50.422;2014
Monroe, MI;80.170;1.999;67.868;2014
Montgomery, AL;67.757;1.999;60.497;2014
Morgantown, WV;59.013;1.999;61.224;2014
Muncie, IN;61.990;1.999;55.005;2014
Muskegon, MI;66.672;1.999;56.243;2014
Napa, CA;69.126;1.999;64.461;2014
Naples-Immokalee-Marco Island, FL;78.542;1.999;69.911;2014
Nashville-Davidson--Murfreesboro--Franklin, TN;75.471;1.999;66.093;2014
New Haven-Milford, CT;68.772;1.999;64.320;2014
New Orleans-Metairie, LA;56.802;1.999;61.743;2014
New York-Newark-Jersey City, NY-NJ-PA;65.916;1.999;63.190;2014
Niles-Benton Harbor, MI;68.809;1.999;57.993;2014
North Port-Sarasota-Bradenton, FL;68.415;1.999;64.777;2014
Norwich-New London, CT;78.237;1.999;80.192;2014
Ocala, FL;56.531;1.999;54.082;2014
Ocean City, NJ;60.570;1.999;64.401;2014
Odessa, TX;53.824;1.999;65.498;2014
Ogden-Clearfield, UT;75.205;1.999;70.312;2014
Oklahoma City, OK;65.212;1.999;66.202;2014
Olympia-Tumwater, WA;70.584;1.999;70.203;2014
Omaha-Council Bluffs, NE-IA;74.227;1.999;72.731;2014
Orlando-Kissimmee-Sanford, FL;67.149;1.999;57.297;2014
Owensboro, KY;68.626;1.999;57.594;2014
Oxnard-Thousand Oaks-Ventura, CA;78.290;1.999;70.278;2014
Palm Bay-Melbourne-Titusville, FL;67.540;1.999;62.106;2014
Pensacola-Ferry Pass-Brent, FL;63.798;1.999;64.356;2014
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD;71.100;1.999;67.655;2014
Phoenix-Mesa-Scottsdale, AZ;68.973;1.999;63.722;2014
Pittsburgh, PA;67.254;1.999;69.002;2014
Portland-South Portland, ME;69.908;1.999;68.231;2014
Portland-Vancouver-Hillsboro, OR-WA;75.381;1.999;68.800;2014
Port St. Lucie, FL;63.892;1.999;59.703;2014
Prescott, AZ;58.665;1.999;53.810;2014
Providence-Warwick, RI-MA;67.501;1.999;67.875;2014
Provo-Orem, UT;63.460;1.999;60.419;2014
Pueblo, CO;56.783;1.999;48.815;2014
Punta Gorda, FL;62.392;1.999;56.716;2014
Racine, WI;82.181;1.999;72.306;2014
Raleigh, NC;85.784;1.999;74.283;2014
Reading, PA;72.730;1.999;66.291;2014
Redding, CA;56.153;1.999;55.095;2014
Reno, NV;74.113;1.999;61.607;2014
Richmond, VA;78.084;1.999;75.369;2014
Riverside-San Bernardino-Ontario, CA;58.467;1.999;53.727;2014
Rochester, NY;72.711;1.999;63.220;2014
Rockford, IL;78.139;1.999;63.703;2014
Rocky Mount, NC;64.752;1.999;48.832;2014
Sacramento--Roseville--Arden-Arcade, CA;72.650;1.999;66.136;2014
Saginaw, MI;69.030;1.999;60.486;2014
St. Louis, MO-IL;82.228;1.999;72.911;2014
Salinas, CA;68.542;1.999;58.116;2014
Salisbury, MD-DE;70.545;1.999;71.875;2014
Salt Lake City, UT;74.002;1.999;66.199;2014
San Angelo, TX;57.657;1.999;56.175;2014
San Antonio-New Braunfels, TX;63.765;1.999;62.699;2014
San Diego-Carlsbad, CA;64.508;1.999;63.841;2014
San Francisco-Oakland-Hayward, CA;79.818;1.999;78.969;2014
San Jose-Sunnyvale-Santa Clara, CA;91.698;1.999;86.833;2014
San Luis Obispo-Paso Robles-Arroyo Grande, CA;65.856;1.999;66.898;2014
Santa Cruz-Watsonville, CA;68.844;1.999;61.233;2014
Santa Fe, NM;77.382;1.999;67.840;2014
Santa Maria-Santa Barbara, CA;69.041;1.999;61.576;2014
Santa Rosa, CA;70.869;1.999;66.560;2014
Scranton--Wilkes-Barre--Hazleton, PA;61.493;1.999;58.803;2014
Seattle-Tacoma-Bellevue, WA;78.355;1.999;77.627;2014
Sheboygan, WI;78.622;1.999;63.319;2014
Shreveport-Bossier City, LA;62.832;1.999;55.441;2014
Spartanburg, SC;69.216;1.999;58.739;2014
Spokane-Spokane Valley, WA;64.194;1.999;57.916;2014
Springfield, IL;76.784;1.999;73.325;2014
Springfield, MA;68.095;1.999;62.291;2014
Springfield, MO;63.717;1.999;56.146;2014
Springfield, OH;73.895;1.999;53.957;2014
State College, PA;58.927;1.999;57.579;2014
Stockton-Lodi, CA;61.853;1.999;54.038;2014
Syracuse, NY;67.120;1.999;65.933;2014
Tampa-St. Petersburg-Clearwater, FL;64.523;1.999;57.151;2014
Toledo, OH;71.680;1.999;61.488;2014
Trenton, NJ;80.150;1.999;76.700;2014
Tucson, AZ;62.937;1.999;56.964;2014
Tyler, TX;64.739;1.999;53.284;2014
Urban Honolulu, HI;64.576;1.999;66.939;2014
Utica-Rome, NY;61.964;1.999;60.775;2014
Vallejo-Fairfield, CA;69.653;1.999;64.348;2014
Virginia Beach-Norfolk-Newport News, VA-NC;68.434;1.999;70.124;2014
Visalia-Porterville, CA;50.740;1.999;43.933;2014
Waco, TX;59.912;1.999;56.975;2014
Washington-Arlington-Alexandria, DC-VA-MD-WV;85.930;1.999;87.611;2014
Wausau, WI;75.502;1.999;69.075;2014
Wichita, KS;74.894;1.999;65.717;2014
Wichita Falls, TX;59.303;1.999;62.637;2014
Winston-Salem, NC;73.098;1.999;58.693;2014
Worcester, MA-CT;70.348;1.999;71.278;2014
Yakima, WA;55.655;1.999;51.153;2014
York-Hanover, PA;73.942;1.999;67.850;2014
Youngstown-Warren-Boardman, OH-PA;67.412;1.999;58.683;2014
Yuba City, CA;53.569;1.999;50.402;2014
Yuma, AZ;52.889;1.999;45.511;2014
