GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
SD;20;2.78;CONSTITUTIVE;2024-07-23 11:07
EPP;22;3.06;CONSTITUTIVE;2024-07-23 11:07
Renew;1;0.14;CONSTITUTIVE;2024-07-23 11:07
Theleft;4;0.56;CONSTITUTIVE;2024-07-23 11:07
GREENSEFA;4;0.56;CONSTITUTIVE;2024-07-23 11:07
PfE;6;0.83;CONSTITUTIVE;2024-07-23 11:07
NI;4;0.56;CONSTITUTIVE;2024-07-23 11:07
