GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;6;0.83;CONSTITUTIVE;2024-07-23 11:07
SD;13;1.81;CONSTITUTIVE;2024-07-23 11:07
ECR;4;0.56;CONSTITUTIVE;2024-07-23 11:07
Renew;13;1.81;CONSTITUTIVE;2024-07-23 11:07
Theleft;9;1.25;CONSTITUTIVE;2024-07-23 11:07
GREENSEFA;5;0.69;CONSTITUTIVE;2024-07-23 11:07
PfE;30;4.17;CONSTITUTIVE;2024-07-23 11:07
ESN;1;0.14;CONSTITUTIVE;2024-07-23 11:07
