"year","totaldeaths"
1989,54.316
1990,79.211
1991,48.464
1992,53.381
1993,44.949
1994,38.475
1995,36.643
1996,28.794
1997,40.213
1998,39.071
1999,32.921
2000,28.446
2001,22.147
2002,20.894
2003,15.03
2004,19.646
2005,12.322
2006,20.163
2007,19.214
2008,28.706
2009,34.606
2010,21.088
2011,25.051
2012,73.704
